Wall time,Step,Value
1540781782,4658,2.023051262
1540781782,4666,1.912181139
1540781782,4670,1.842804432
1540781782,4678,1.708540559
1540781784,4715,1.705772042
1540781784,4720,1.815296531
1540781785,4752,1.894260526
1540781785,4760,1.794067264
1540781785,4769,1.78806603
1540781785,4790,1.934505463
1540781785,4802,1.926755905
1540781785,4804,1.922440171
1540781786,4842,1.780213237
1540781786,4854,1.931002259
1540781787,4896,1.783930779
1540781789,4964,1.83175993
1540781789,4973,1.848737836
1540781789,4976,1.823030233
1540781790,5052,1.921789289
1540781790,5054,1.877165556
1540781790,5055,1.870824814
1540781791,5108,1.928439736
1540781791,5128,1.794852972
1540781792,5136,1.764216423
1540781792,5184,1.871772408
1540781793,5202,1.877385616
1540781793,5210,1.910802722
1540781793,5241,1.861508846
1540781794,5291,1.742587686
1540781795,5331,1.813405275
1540781795,5347,1.719367266
1540781795,5361,1.880437851
1540781796,5422,2.02132535
1540781797,5444,1.883093834
1540781797,5497,2.029199839
1540781798,5517,1.958100319
1540781798,5519,1.976680875
1540781798,5551,1.670238733
1540781798,5575,1.774718881
1540781799,5589,2.055656672
1540781799,5632,1.855268121
1540781800,5660,1.851862788
1540781800,5662,1.9117136
1540781800,5666,1.868414879
1540781800,5681,1.854421258
1540781801,5722,1.863006592
1540781801,5725,1.918910146
1540781802,5778,1.852016091
1540781802,5809,1.789684534
1540781802,5810,1.84496665
1540781802,5827,1.787930965
1540781803,5830,1.869407296
1540781803,5864,1.892905474
1540781803,5866,1.909398079
1540781804,5873,1.767656446
1540781804,5909,1.762997746
1540781805,5930,1.93335557
1540781806,5954,1.748126388
1540781806,5959,1.886625767
1540781806,5965,1.946109891
1540781807,5992,1.887708783
1540781807,6012,1.910393238
1540781807,6017,1.920077562
1540781808,6032,1.722851276
1540781808,6037,1.782927632
1540781808,6080,1.862871647
1540781809,6105,1.738317728
1540781809,6107,1.738200784
1540781809,6123,2.073627472
1540781809,6133,1.882671475
1540781811,6183,1.892028093
1540781811,6202,2.027941465
1540781811,6215,1.869367123
1540781811,6221,2.194591761
1540781811,6234,1.96774745
1540781812,6291,1.855808854
1540781813,6314,2.066309452
1540781813,6319,1.894168854
1540781813,6343,1.797175646
1540781813,6354,1.816201687
1540781813,6365,1.821908355
1540781814,6378,1.800639153
1540781814,6402,1.820406437
1540781815,6497,1.93447578
1540781815,6498,1.877700686
1540781816,6502,1.859002709
1540781816,6522,1.960117936
1540781816,6523,1.94489336
1540781816,6532,1.765023589
1540781817,6576,1.818897963
1540781817,6583,1.889471412
1540781817,6586,1.792271733
1540781817,6605,1.922454596
1540781818,6659,1.809073091
1540781818,6668,1.74141252
1540781818,6670,1.814053655
1540781818,6674,1.882877946
1540781818,6680,1.920117617
1540781818,6683,1.82752037
1540781818,6690,1.944982171
1540781818,6698,1.90499413
1540781819,6701,1.909371376
1540781819,6713,1.858067393
1540781819,6740,1.951696873
1540781819,6744,1.887110829
1540781819,6755,1.906396985
1540781821,6834,1.916320801
1540781821,6848,1.743968487
1540781821,6856,1.855376601
1540781821,6870,1.824481964
1540781821,6871,1.809323192
1540781822,6936,1.761548877
1540781822,6965,1.788367629
1540781823,6968,1.745515704
1540781823,6994,1.838503599
1540781823,7016,1.829040051
1540781824,7041,1.920258641
1540781824,7093,1.818454385
1540781825,7108,1.91617763
1540781825,7116,1.825350642
1540781825,7139,1.85039115
1540781826,7157,1.743654966
1540781826,7197,1.832917571
1540781827,7218,1.970708251
